id,Date,est_variable_mortgage_rate ,Quarter,Year,Month,Week_Num,brm_lookup,,
vmr_001,2013-08-08,2.55,3,2013,8,32,brm_001,,
vmr_002,2013-08-15,2.55,3,2013,8,33,brm_001,,
vmr_003,2013-08-22,2.55,3,2013,8,34,brm_001,,
vmr_004,2013-08-29,2.55,3,2013,8,35,brm_001,,
vmr_005,2013-09-05,2.56,3,2013,9,36,brm_002,,
vmr_006,2013-09-12,2.55,3,2013,9,37,brm_002,,
vmr_007,2013-09-19,2.55,3,2013,9,38,brm_002,,
vmr_008,2013-09-26,2.55,3,2013,9,39,brm_002,,
vmr_009,2013-10-03,2.54,4,2013,10,40,brm_003,,
vmr_010,2013-10-10,2.54,4,2013,10,41,brm_003,,
vmr_011,2013-10-17,2.54,4,2013,10,42,brm_003,,
vmr_012,2013-10-24,2.53,4,2013,10,43,brm_003,,
vmr_013,2013-10-31,2.53,4,2013,10,44,brm_003,,
vmr_014,2013-11-07,2.51,4,2013,11,45,brm_004,,
vmr_015,2013-11-14,2.5,4,2013,11,46,brm_004,,
vmr_016,2013-11-21,2.51,4,2013,11,47,brm_004,,
vmr_017,2013-11-28,2.51,4,2013,11,48,brm_004,,
vmr_018,2013-12-05,2.51,4,2013,12,49,brm_005,,
vmr_019,2013-12-12,2.51,4,2013,12,50,brm_005,,
vmr_020,2013-12-19,2.51,4,2013,12,51,brm_005,,
vmr_021,2013-12-26,2.51,4,2013,12,52,brm_005,,
vmr_022,2014-01-02,2.51,1,2014,1,1,brm_006,,
vmr_023,2014-01-09,2.5,1,2014,1,2,brm_006,,
vmr_024,2014-01-16,2.51,1,2014,1,3,brm_006,,
vmr_025,2014-01-23,2.51,1,2014,1,4,brm_006,,
vmr_026,2014-01-30,2.5,1,2014,1,5,brm_006,,
vmr_027,2014-02-06,2.49,1,2014,2,6,brm_007,,
vmr_028,2014-02-13,2.47,1,2014,2,7,brm_007,,
vmr_029,2014-02-20,2.47,1,2014,2,8,brm_007,,
vmr_030,2014-02-27,2.46,1,2014,2,9,brm_007,,
vmr_031,2014-03-06,2.46,1,2014,3,10,brm_008,,
vmr_032,2014-03-13,2.46,1,2014,3,11,brm_008,,
vmr_033,2014-03-20,2.46,1,2014,3,12,brm_008,,
vmr_034,2014-03-27,2.44,1,2014,3,13,brm_008,,
vmr_035,2014-04-03,2.44,2,2014,4,14,brm_009,,
vmr_036,2014-04-10,2.44,2,2014,4,15,brm_009,,
vmr_037,2014-04-17,2.42,2,2014,4,16,brm_009,,
vmr_038,2014-04-24,2.42,2,2014,4,17,brm_009,,
vmr_039,2014-05-01,2.42,2,2014,5,18,brm_010,,
vmr_040,2014-05-08,2.42,2,2014,5,19,brm_010,,
vmr_041,2014-05-15,2.42,2,2014,5,20,brm_010,,
vmr_042,2014-05-22,2.42,2,2014,5,21,brm_010,,
vmr_043,2014-05-29,2.42,2,2014,5,22,brm_010,,
vmr_044,2014-06-05,2.41,2,2014,6,23,brm_011,,
vmr_045,2014-06-12,2.4,2,2014,6,24,brm_011,,
vmr_046,2014-06-19,2.4,2,2014,6,25,brm_011,,
vmr_047,2014-06-26,2.39,2,2014,6,26,brm_011,,
vmr_048,2014-07-03,2.39,3,2014,7,27,brm_012,,
vmr_049,2014-07-10,2.39,3,2014,7,28,brm_012,,
vmr_050,2014-07-17,2.39,3,2014,7,29,brm_012,,
vmr_051,2014-07-24,2.4,3,2014,7,30,brm_012,,
vmr_052,2014-07-31,2.4,3,2014,7,31,brm_012,,
vmr_053,2014-08-07,2.4,3,2014,8,32,brm_013,,
vmr_054,2014-08-14,2.4,3,2014,8,33,brm_013,,
vmr_055,2014-08-21,2.4,3,2014,8,34,brm_013,,
vmr_056,2014-08-28,2.39,3,2014,8,35,brm_013,,
vmr_057,2014-09-04,2.39,3,2014,9,36,brm_014,,
vmr_058,2014-09-11,2.38,3,2014,9,37,brm_014,,
vmr_059,2014-09-18,2.38,3,2014,9,38,brm_014,,
vmr_060,2014-09-25,2.38,3,2014,9,39,brm_014,,
vmr_061,2014-10-02,2.36,4,2014,10,40,brm_015,,
vmr_062,2014-10-09,2.35,4,2014,10,41,brm_015,,
vmr_063,2014-10-16,2.35,4,2014,10,42,brm_015,,
vmr_064,2014-10-23,2.35,4,2014,10,43,brm_015,,
vmr_065,2014-10-30,2.35,4,2014,10,44,brm_015,,
vmr_066,2014-11-06,2.35,4,2014,11,45,brm_016,,
vmr_067,2014-11-13,2.33,4,2014,11,46,brm_016,,
vmr_068,2014-11-20,2.33,4,2014,11,47,brm_016,,
vmr_069,2014-11-27,2.33,4,2014,11,48,brm_016,,
vmr_070,2014-12-04,2.33,4,2014,12,49,brm_017,,
vmr_071,2014-12-11, Bank holiday,4,2014,12,50,brm_017,,
vmr_072,2014-12-18,2.31,4,2014,12,51,brm_017,,
vmr_073,2014-12-25,2.31,4,2014,12,52,brm_017,,
vmr_074,2015-01-01,2.31,1,2015,1,1,brm_018,,
vmr_075,2015-01-08,2.3,1,2015,1,2,brm_018,,
vmr_076,2015-01-15,2.3,1,2015,1,3,brm_018,,
vmr_077,2015-01-22,2.26,1,2015,1,4,brm_018,,
vmr_078,2015-01-29,2.27,1,2015,1,5,brm_018,,
vmr_079,2015-02-05,2.18,1,2015,2,6,brm_019,,
vmr_080,2015-02-12,2.15,1,2015,2,7,brm_019,,
vmr_081,2015-02-19,2.13,1,2015,2,8,brm_019,,
vmr_082,2015-02-26,2.13,1,2015,2,9,brm_019,,
vmr_083,2015-03-05,2.12,1,2015,3,10,brm_020,,
vmr_084,2015-03-12,2.12,1,2015,3,11,brm_020,,
vmr_085,2015-03-19,2.12,1,2015,3,12,brm_020,,
vmr_086,2015-03-26,2.12,1,2015,3,13,brm_020,,
vmr_087,2015-04-02,2.12,2,2015,4,14,brm_021,,
vmr_088,2015-04-09,2.12,2,2015,4,15,brm_021,,
vmr_089,2015-04-16,2.12,2,2015,4,16,brm_021,,
vmr_090,2015-04-23,2.12,2,2015,4,17,brm_021,,
vmr_091,2015-04-30,2.12,2,2015,4,18,brm_021,,
vmr_092,2015-05-07,2.12,2,2015,5,19,brm_022,,
vmr_093,2015-05-14,2.12,2,2015,5,20,brm_022,,
vmr_094,2015-05-21,2.12,2,2015,5,21,brm_022,,
vmr_095,2015-05-28,2.12,2,2015,5,22,brm_022,,
vmr_096,2015-06-04,2.13,2,2015,6,23,brm_023,,
vmr_097,2015-06-11,2.13,2,2015,6,24,brm_023,,
vmr_098,2015-06-18,2.13,2,2015,6,25,brm_023,,
vmr_099,2015-06-25,2.14,2,2015,6,26,brm_023,,
vmr_100,2015-07-02,2.13,3,2015,7,27,brm_024,,
vmr_101,2015-07-09,2.13,3,2015,7,28,brm_024,,
vmr_102,2015-07-16,2.13,3,2015,7,29,brm_024,,
vmr_103,2015-07-23,2.07,3,2015,7,30,brm_024,,
vmr_104,2015-07-30,2.04,3,2015,7,31,brm_024,,
vmr_105,2015-08-06,2.04,3,2015,8,32,brm_025,,
vmr_106,2015-08-13,1.98,3,2015,8,33,brm_025,,
vmr_107,2015-08-20,1.98,3,2015,8,34,brm_025,,
vmr_108,2015-08-27,1.99,3,2015,8,35,brm_025,,
vmr_109,2015-09-03,1.99,3,2015,9,36,brm_026,,
vmr_110,2015-09-10,1.99,3,2015,9,37,brm_026,,
vmr_111,2015-09-17,1.99,3,2015,9,38,brm_026,,
vmr_112,2015-09-24,1.99,3,2015,9,39,brm_026,,
vmr_113,2015-10-01,2,4,2015,10,40,brm_027,,
vmr_114,2015-10-08,2.01,4,2015,10,41,brm_027,,
vmr_115,2015-10-15,2.02,4,2015,10,42,brm_027,,
vmr_116,2015-10-22,2.03,4,2015,10,43,brm_027,,
vmr_117,2015-10-29,2.04,4,2015,10,44,brm_027,,
vmr_118,2015-11-05,2.04,4,2015,11,45,brm_028,,
vmr_119,2015-11-12,2.09,4,2015,11,46,brm_028,,
vmr_120,2015-11-19,2.09,4,2015,11,47,brm_028,,
vmr_121,2015-11-26,2.11,4,2015,11,48,brm_028,,
vmr_122,2015-12-03,2.14,4,2015,12,49,brm_029,,
vmr_123,2015-12-10,2.14,4,2015,12,50,brm_029,,
vmr_124,2015-12-17,2.16,4,2015,12,51,brm_029,,
vmr_125,2015-12-24,2.2,4,2015,12,52,brm_029,,
vmr_126,2015-12-31,2.2,4,2015,12,53,brm_029,,
vmr_127,2016-01-07,2.23,1,2016,1,2,brm_030,,
vmr_128,2016-01-14,2.25,1,2016,1,3,brm_030,,
vmr_129,2016-01-21,2.24,1,2016,1,4,brm_030,,
vmr_130,2016-01-28,2.24,1,2016,1,5,brm_030,,
vmr_131,2016-02-04,2.22,1,2016,2,6,brm_031,,
vmr_132,2016-02-11,2.24,1,2016,2,7,brm_031,,
vmr_133,2016-02-18,2.22,1,2016,2,8,brm_031,,
vmr_134,2016-02-25,2.24,1,2016,2,9,brm_031,,
vmr_135,2016-03-03,2.24,1,2016,3,10,brm_032,,
vmr_136,2016-03-10,2.24,1,2016,3,11,brm_032,,
vmr_137,2016-03-17,2.24,1,2016,3,12,brm_032,,
vmr_138,2016-03-24,2.24,1,2016,3,13,brm_032,,
vmr_139,2016-03-31,2.24,1,2016,3,14,brm_032,,
vmr_140,2016-04-07,2.24,2,2016,4,15,brm_033,,
vmr_141,2016-04-14,2.28,2,2016,4,16,brm_033,,
vmr_142,2016-04-21,2.24,2,2016,4,17,brm_033,,
vmr_143,2016-04-28,2.24,2,2016,4,18,brm_033,,
vmr_144,2016-05-05,2.21,2,2016,5,19,brm_034,,
vmr_145,2016-05-12,2.21,2,2016,5,20,brm_034,,
vmr_146,2016-05-19,2.2,2,2016,5,21,brm_034,,
vmr_147,2016-05-26,2.2,2,2016,5,22,brm_034,,
vmr_148,2016-06-02,2.19,2,2016,6,23,brm_035,,
vmr_149,2016-06-09,2.19,2,2016,6,24,brm_035,,
vmr_150,2016-06-16,2.2,2,2016,6,25,brm_035,,
vmr_151,2016-06-23,2.2,2,2016,6,26,brm_035,,
vmr_152,2016-06-30,2.2,2,2016,6,27,brm_035,,
vmr_153,2016-07-07,2.2,3,2016,7,28,brm_036,,
vmr_154,2016-07-14,2.19,3,2016,7,29,brm_036,,
vmr_155,2016-07-21,2.19,3,2016,7,30,brm_036,,
vmr_156,2016-07-28,2.19,3,2016,7,31,brm_036,,
vmr_157,2016-08-04,2.19,3,2016,8,32,brm_037,,
vmr_158,2016-08-11,2.19,3,2016,8,33,brm_037,,
vmr_159,2016-08-18,2.19,3,2016,8,34,brm_037,,
vmr_160,2016-08-25,2.19,3,2016,8,35,brm_037,,
vmr_161,2016-09-01,2.19,3,2016,9,36,brm_038,,
vmr_162,2016-09-08,2.19,3,2016,9,37,brm_038,,
vmr_163,2016-09-15,2.19,3,2016,9,38,brm_038,,
vmr_164,2016-09-22,2.19,3,2016,9,39,brm_038,,
vmr_165,2016-09-29,2.19,3,2016,9,40,brm_038,,
vmr_166,2016-10-06,2.19,4,2016,10,41,brm_039,,
vmr_167,2016-10-13,2.19,4,2016,10,42,brm_039,,
vmr_168,2016-10-20,2.19,4,2016,10,43,brm_039,,
vmr_169,2016-10-27,2.19,4,2016,10,44,brm_039,,
vmr_170,2016-11-03,2.19,4,2016,11,45,brm_040,,
vmr_171,2016-11-10,2.19,4,2016,11,46,brm_040,,
vmr_172,2016-11-17,2.19,4,2016,11,47,brm_040,,
vmr_173,2016-11-24,2.19,4,2016,11,48,brm_040,,
vmr_174,2016-12-01,2.19,4,2016,12,49,brm_041,,
vmr_175,2016-12-08,2.19,4,2016,12,50,brm_041,,
vmr_176,2016-12-15,2.19,4,2016,12,51,brm_041,,
vmr_177,2016-12-22,2.19,4,2016,12,52,brm_041,,
vmr_178,2016-12-29,2.19,4,2016,12,53,brm_041,,
vmr_179,2017-01-05,2.19,1,2017,1,1,brm_042,,
vmr_180,2017-01-12,2.19,1,2017,1,2,brm_042,,
vmr_181,2017-01-19,2.19,1,2017,1,3,brm_042,,
vmr_182,2017-01-26,2.18,1,2017,1,4,brm_042,,
vmr_183,2017-02-02,2.16,1,2017,2,5,brm_043,,
vmr_184,2017-02-09,2.14,1,2017,2,6,brm_043,,
vmr_185,2017-02-16,2.14,1,2017,2,7,brm_043,,
vmr_186,2017-02-23,2.11,1,2017,2,8,brm_043,,
vmr_187,2017-03-02,2.11,1,2017,3,9,brm_044,,
vmr_188,2017-03-09,2.14,1,2017,3,10,brm_044,,
vmr_189,2017-03-16,2.11,1,2017,3,11,brm_044,,
vmr_190,2017-03-23,2.04,1,2017,3,12,brm_044,,
vmr_191,2017-03-30,2.04,1,2017,3,13,brm_044,,
vmr_192,2017-04-06,2.03,2,2017,4,14,brm_045,,
vmr_193,2017-04-13,2.04,2,2017,4,15,brm_045,,
vmr_194,2017-04-20,2.04,2,2017,4,16,brm_045,,
vmr_195,2017-04-27,2.03,2,2017,4,17,brm_045,,
vmr_196,2017-05-04,2.03,2,2017,5,18,brm_046,,
vmr_197,2017-05-11,2.03,2,2017,5,19,brm_046,,
vmr_198,2017-05-18,2.03,2,2017,5,20,brm_046,,
vmr_199,2017-05-25,2.04,2,2017,5,21,brm_046,,
vmr_200,2017-06-01,2.02,2,2017,6,22,brm_047,,
vmr_201,2017-06-08,2.02,2,2017,6,23,brm_047,,
vmr_202,2017-06-15,2.02,2,2017,6,24,brm_047,,
vmr_203,2017-06-22,2.01,2,2017,6,25,brm_047,,
vmr_204,2017-06-29,2.01,2,2017,6,26,brm_047,,
vmr_205,2017-07-06,2.01,3,2017,7,27,brm_048,,
vmr_206,2017-07-13,2.05,3,2017,7,28,brm_048,,
vmr_207,2017-07-20,2.18,3,2017,7,29,brm_048,,
vmr_208,2017-07-27,2.17,3,2017,7,30,brm_048,,
vmr_209,2017-08-03,2.17,3,2017,8,31,brm_049,,
vmr_210,2017-08-10,2.17,3,2017,8,32,brm_049,,
vmr_211,2017-08-17,2.16,3,2017,8,33,brm_049,,
vmr_212,2017-08-24,2.14,3,2017,8,34,brm_049,,
vmr_213,2017-08-31,2.14,3,2017,8,35,brm_049,,
vmr_214,2017-09-07,2.18,3,2017,9,36,brm_050,,
vmr_215,2017-09-14,2.3,3,2017,9,37,brm_050,,
vmr_216,2017-09-21,2.29,3,2017,9,38,brm_050,,
vmr_217,2017-09-28,2.29,3,2017,9,39,brm_050,,
vmr_218,2017-10-05,2.26,4,2017,10,40,brm_051,,
vmr_219,2017-10-12,2.26,4,2017,10,41,brm_051,,
vmr_220,2017-10-19,2.27,4,2017,10,42,brm_051,,
vmr_221,2017-10-26,2.28,4,2017,10,43,brm_051,,
vmr_222,2017-11-02,2.28,4,2017,11,44,brm_052,,
vmr_223,2017-11-09,2.28,4,2017,11,45,brm_052,,
vmr_224,2017-11-16,2.25,4,2017,11,46,brm_052,,
vmr_225,2017-11-23,2.25,4,2017,11,47,brm_052,,
vmr_226,2017-11-30,2.22,4,2017,11,48,brm_052,,
vmr_227,2017-12-07,2.22,4,2017,12,49,brm_053,,
vmr_228,2017-12-14,2.22,4,2017,12,50,brm_053,,
vmr_229,2017-12-21,2.23,4,2017,12,51,brm_053,,
vmr_230,2017-12-28,2.22,4,2017,12,52,brm_053,,
vmr_231,2018-01-04,2.23,1,2018,1,1,brm_054,,
vmr_232,2018-01-11,2.23,1,2018,1,2,brm_054,,
vmr_233,2018-01-18,2.32,1,2018,1,3,brm_054,,
vmr_234,2018-01-25,2.45,1,2018,1,4,brm_054,,
vmr_235,2018-02-01,2.42,1,2018,2,5,brm_055,,
vmr_236,2018-02-08,2.4,1,2018,2,6,brm_055,,
vmr_237,2018-02-15,2.39,1,2018,2,7,brm_055,,
vmr_238,2018-02-22,2.37,1,2018,2,8,brm_055,,
vmr_239,2018-03-01,2.36,1,2018,3,9,brm_056,,
vmr_240,2018-03-08,2.36,1,2018,3,10,brm_056,,
vmr_241,2018-03-15,2.36,1,2018,3,11,brm_056,,
vmr_242,2018-03-22,2.36,1,2018,3,12,brm_056,,
vmr_243,2018-03-29,2.36,1,2018,3,13,brm_056,,
vmr_244,2018-04-05,2.36,2,2018,4,14,brm_057,,
